time,X005,X405,X1105
0.5000000000000,0.2691057548,0.5365809168E-04,0.2995705967E-05
1.000000000000,0.4266828055,0.3292643545E-03,0.2391191583E-04
1.500000000000,0.5238548745,0.1072247541E-02,0.9904909600E-04
2.000000000000,0.5856184444,0.2472345415E-02,0.2841886725E-03
2.500000000000,0.6255769671,0.4550776542E-02,0.6364266534E-03
3.000000000000,0.6517113243,0.7144751069E-02,0.1189250928E-02
3.500000000000,0.6689177639,0.9982008680E-02,0.1935076990E-02
4.000000000000,0.6802935464,0.1278229853E-01,0.2825698608E-02
4.500000000000,0.6878347988,0.1533010136E-01,0.3787742040E-02
5.000000000000,0.6928429864,0.1750214301E-01,0.4743759525E-02
5.500000000000,0.6961729432,0.1925952568E-01,0.5629638610E-02
6.000000000000,0.6983888469,0.2062288633E-01,0.6403636588E-02
6.500000000000,0.6998642346,0.2164550610E-01,0.7047207138E-02
7.000000000000,0.7008466532,0.2239160631E-01,0.7560420654E-02
7.500000000000,0.7015012575,0.2292501240E-01,0.7955604054E-02
8.000000000000,0.7019375659,0.2330008059E-01,0.8251294393E-02
8.500000000000,0.7022284143,0.2356040714E-01,0.8467313277E-02
9.000000000000,0.7024223082,0.2373928085E-01,0.8622069994E-02
9.500000000000,0.7025515700,0.2386123788E-01,0.8731188397E-02
10.00000000000,0.7026377442,0.2394389912E-01,0.8807147615E-02
10.50000000000,0.7026951928,0.2399967662E-01,0.8859486647E-02
11.00000000000,0.7027334902,0.2403718778E-01,0.8895260676E-02
11.50000000000,0.7027590192,0.2406235101E-01,0.8919558345E-02
12.00000000000,0.7027760346,0.2407919825E-01,0.8935979702E-02
12.50000000000,0.7027873723,0.2409045961E-01,0.8947033968E-02
13.00000000000,0.7027949219,0.2409797512E-01,0.8954449910E-02
13.50000000000,0.7027999422,0.2410298031E-01,0.8959407764E-02
14.00000000000,0.7028032706,0.2410630227E-01,0.8962707473E-02
14.50000000000,0.7028054649,0.2410849374E-01,0.8964888600E-02
15.00000000000,0.7028068978,0.2410992550E-01,0.8966315600E-02
15.50000000000,0.7028078232,0.2411085042E-01,0.8967238327E-02
16.00000000000,0.7028084176,0.2411144457E-01,0.8967831443E-02
16.50000000000,0.7028088021,0.2411182897E-01,0.8968215338E-02
17.00000000000,0.7028090559,0.2411208275E-01,0.8968468848E-02
17.50000000000,0.7028092285,0.2411225537E-01,0.8968641317E-02
18.00000000000,0.7028093502,0.2411237703E-01,0.8968762891E-02
18.50000000000,0.7028094392,0.2411246600E-01,0.8968851801E-02
19.00000000000,0.7028095065,0.2411253336E-01,0.8968919113E-02
19.50000000000,0.7028095591,0.2411258593E-01,0.8968971662E-02
20.00000000000,0.7028096013,0.2411262808E-01,0.8969013783E-02
20.50000000000,0.7028096358,0.2411266262E-01,0.8969048311E-02
21.00000000000,0.7028096647,0.2411269148E-01,0.8969077159E-02
21.50000000000,0.7028096892,0.2411271599E-01,0.8969101652E-02
22.00000000000,0.7028097103,0.2411273708E-01,0.8969122737E-02
22.50000000000,0.7028097287,0.2411275545E-01,0.8969141104E-02
23.00000000000,0.7028097448,0.2411277162E-01,0.8969157269E-02
23.50000000000,0.7028097592,0.2411278598E-01,0.8969171623E-02
24.00000000000,0.7028097720,0.2411279884E-01,0.8969184471E-02
24.50000000000,0.7028097836,0.2411281042E-01,0.8969196049E-02
25.00000000000,0.7028097941,0.2411282092E-01,0.8969206549E-02
25.50000000000,0.7028098037,0.2411283050E-01,0.8969216123E-02
26.00000000000,0.7028098125,0.2411283928E-01,0.8969224896E-02
26.50000000000,0.7028098206,0.2411284735E-01,0.8969232971E-02
27.00000000000,0.7028098280,0.2411285482E-01,0.8969240434E-02
27.50000000000,0.7028098349,0.2411286174E-01,0.8969247357E-02
28.00000000000,0.7028098414,0.2411286819E-01,0.8969253800E-02
28.50000000000,0.7028098474,0.2411287421E-01,0.8969259816E-02
